type,diag_true,diag_false
observed,-115.15417931881389,-134.72951199408112
0,-73.188518141403,92.72372559597105
1,-790.1698969762916,-748.1471121697501
2,82.5892369000445,772.0527474025566
3,1131.1795522569103,1327.0882451147356
4,-1050.7150523621688,-461.364354898834
5,815.5699869412718,362.54347295398765
6,198.60375969873132,-299.06265621604143
7,12.920783346769872,-276.0787910890721
8,437.2055994757602,368.2549254067773
9,-947.9424275812188,-930.6917541198387
10,547.8883746953088,331.78358559744896
11,-541.3858153974414,-391.9891082267078
12,417.9288628120314,684.9723423109403
13,-74.82691193896963,498.42922016225276
14,287.0406158964213,-177.7188541956793
15,451.9711701450394,674.755094627625
16,396.0005464837847,-87.05787071181786
17,-1514.8654526598166,1399.121256350754
18,509.95013422493946,323.59909485826324
19,-67.83461675332791,47.144072905261275
20,1023.5644163759774,530.9921843524562
21,675.7187933256384,-188.3353954271669
22,1747.8594978693059,1698.0403009942643
23,258.24391962197,233.51142852549825
24,-511.8724969370026,-35.76326091868878
25,425.8128108492052,580.0341618299974
26,265.5907175731605,388.2781033614463
27,-829.2232943764988,-462.75858314290224
28,-803.1582886260752,-585.1280692547184
29,141.14909229008168,357.04208781980293
30,-447.3951229478282,-266.73065538376864
31,-353.76702680597555,-127.02652039128917
32,-838.5743501030036,-308.52370119569025
33,-911.5555938267174,-967.6181582501712
34,1703.0665923081226,1556.4235034399637
35,248.37932233393425,187.2246442616524
36,772.8385805818205,794.4605214934348
37,-188.204128949286,332.8880219981962
38,-290.94364367333617,87.63884547874673
39,-843.1891636227932,-820.5208342730082
40,948.1952569847925,769.4447170092916
41,43.31715236721541,5.413135191987301
42,-97.95025904563171,-59.76222358170334
43,1393.0758280900336,1303.1214834462207
44,622.582162870021,795.3112029382632
45,2109.339149012562,2167.302837832143
46,-14.574031230025517,168.29243359482328
47,-99.49885119222476,-295.9463428136959
48,-445.2100412046442,-199.71519220066082
49,-340.76840902529676,3.1344344990315633
50,447.53541198511016,531.757761799235
51,641.6592480819974,1203.2711699738227
52,-414.26959352008936,62.992285691756805
53,-338.1125141995391,-24.099560061807548
54,-1035.3391355568508,-1007.3477670041572
55,-1254.716331835969,-1146.736986612474
56,494.49900978663254,485.24341114243987
57,-2590.6300609064865,-2192.959196062387
58,-166.71580799751106,-54.657350190136455
59,-39.15948944771207,-191.39396975597197
60,1094.0310468718187,1214.7610245678788
61,-694.3108443755707,-817.5316896414474
62,-473.65315376649954,-789.1271776499842
63,-331.1212651866054,-50.02083577077275
64,334.98358821067814,952.5056932583474
65,173.34827809892798,-549.9666379608772
66,-697.2266203202545,-223.9790404444756
67,439.6186403141703,217.68630621191278
68,981.9221198932478,1115.564627731618
69,-425.7867387161514,-766.7532438581559
70,-682.8299376691892,-893.8040604183573
71,178.90364731687455,-315.1223343995058
72,943.8539922141753,610.850743847736
73,-976.8712133262372,-130.91918706829748
74,396.84808315582774,-210.69592373789175
75,-298.81594076416025,-391.94267228072977
76,-559.221823279036,-324.90281506135045
77,7.950287357393494,224.51538630776187
78,-1082.6291464008239,-1211.1474744794104
79,-254.89944577014077,-876.5194758103953
80,-424.03547388035446,-555.4339190375426
81,-328.7630597995866,-329.95475060421694
82,-912.7358661566171,-1790.9713369933143
83,-120.51588338426347,321.30497752906183
84,1277.7325200405023,911.910928923724
