type,diag_true,diag_false
observed,-167.35637198120415,-484.3478002850658
0,68.54999166808626,40199.07317850858
1,-647.2315567633706,2690.0123679848007
2,250.12849930619706,-24274.319435490932
3,1383.167212620282,-6385.951714920115
4,-737.0569460236435,-18822.96583788532
5,662.9779273580184,-49620.70940498765
6,301.77615222487367,36884.366311152575
7,-46.350704683001936,1230221.9415416908
8,725.99978258536,85618.83964502176
9,-1016.7632660043613,10562.214465754974
10,697.238623629904,15368.050772789447
11,-229.3028142709951,-39136.64261636994
12,-89.98272080230684,-82989.26760605004
13,-390.58613430948515,21915.354575859576
14,-202.46777055468044,10327.224880482883
15,387.6720293623446,63685.92551257809
16,442.0203155806199,38587.59075666563
17,426.91136952192716,28223.23475242173
18,561.2002068192847,8228.13914839271
19,-58.68167332436597,87750.87787488513
20,978.3772375999984,-58829.44439740612
21,660.0881090420315,22161.75357835007
22,2046.1606202046664,-21701.178087379103
23,512.2666580938386,-41754.56920839174
24,-372.48910803796235,33807.06068188154
25,465.03571466016047,5666.7316538211235
26,84.4459729826556,41529.94863825609
27,-1057.053121537949,184243.3869637224
28,-281.7071197086797,-32775.45389602776
29,87.61320804517075,31922.457154539807
30,74.83133288969293,397485.6864422136
31,-666.1892214490939,-63212.44918233006
32,-1166.2436666102703,37117.593791766565
33,-470.183611767084,62253.74023817793
34,1271.8806969152583,61078.92421761782
35,493.2040867520527,-221.31873715992873
36,572.8187283477913,5794.661227287042
37,62.413964897696964,38948.048555505
38,-317.56551810194435,-60193.29466342692
39,-915.5243010025048,-50124.88388400351
40,1205.2887091052503,-368707.37994077115
41,-115.53537046237898,-66479.82367031874
42,-698.3693709759291,-31074.16939447104
43,1398.9340315011118,-10058.836988833738
44,348.4100595412937,93205.45663970106
45,1994.6337306692112,23806.162937961046
46,11.860560906327215,21862.32936992892
47,-179.24913107055312,1981195.7388743516
48,-542.8573864843659,-155196.14206598504
49,-654.373367902457,-5542.982517669224
50,628.2466103698191,-81621.82472106013
51,728.879502684455,13707.336686171324
52,-17.157689053987305,-36360.38746434694
53,-78.55629139764999,75875.54739081484
54,-736.3911934413502,58959.49116843384
55,-1368.4984418690983,-3568.7506845422276
56,457.544397180112,-199029.94474331816
57,-2882.314583238919,871.3578468761458
58,-488.062223659466,-79569.83543529849
59,-270.7264552577921,67925.51945765929
60,882.7071662616083,-254981.63515975323
61,-102.11312089918313,7748.493484573921
62,-993.2732860085606,-31916.212876439375
63,-150.2884762767234,-14453.478977881969
64,636.1696080182595,47242.171501922756
65,506.9174903195665,2677.7956067647647
66,-475.6252927023393,-2920.891501149223
67,375.45821880195473,-33456.51164358868
68,663.9893782826703,28660.345656521306
69,-221.59494058789252,1074.9143968621477
70,-904.234523543982,-383876.0835840136
71,23.63519888057911,-8377.705742876342
72,1169.102645453139,25145.53821233278
73,-1206.3178335651976,-7958.1087291418025
