type,diag_true,diag_false
observed,-103.65952157306029,-96.57987790573972
0,-1168.1332793773033,-1886.7362116725637
1,-730.2356210161441,-821.2528371386927
2,-489.7257082414666,-878.9176579333629
3,755.0477500298671,1256.5581385795422
4,-1725.1455827506736,-888.44626548058
5,1353.6530750857244,383.8660395171595
6,-312.7742002140916,-73.77587936497737
7,44.2523881280096,-300.9601335102595
8,302.92271736269737,-356.94610181955795
9,-429.03553903698565,-187.30278171835994
10,603.0592297887401,-103.34204845566428
11,483.56420742642405,-173.61325238182454
12,752.4795823700487,-1171.6572892379982
13,24.10296887174736,-169.16016859318486
14,-511.6934765533387,-1989.0490215136067
15,343.3324158268345,883.9072423288733
16,667.0277103497693,846.2511485379636
17,4178.414986411623,1803.8533165991378
18,882.5418186392034,1388.3873953452094
19,-442.95828508024744,-662.1374381926317
20,1546.4331868091094,1343.463204961023
21,-67.70059560033958,-72.70963613658783
22,2245.80272330351,2694.5323382252723
23,972.4764650922408,1460.097872502599
24,-858.6366662983755,167.8582398615231
25,939.7239618804625,391.87036388124176
26,498.5447217103132,-786.6861295718564
27,-1195.4876573817555,-1280.834256874663
28,-741.8602338593445,-1501.090055913632
29,449.8679035767325,-487.59344039862617
30,287.2754672668444,519.3285048444995
31,-399.31340300939956,796.3347035870179
32,-1383.4790454394704,-760.9612790877196
33,546.8412796386345,546.8325826262652
34,1548.795500049535,1260.4051770666338
35,1110.7136225187744,684.7199711931254
36,1645.4064724789612,1340.9196306986119
37,-198.29489977734553,-626.7621658689861
38,3.9916878174137214,-111.91504884442054
39,-1199.9574671246844,-523.1989860277785
40,1513.4608642589687,932.7044074504336
41,504.28576055074313,-234.30785066991604
42,822.4554927649916,1036.394603247378
43,2162.5629179803705,1588.2044237620978
44,254.8810202330233,-294.265375339907
45,2831.448545276911,4012.468008770845
46,153.5022516355292,222.55866312535056
47,-1631.462821916813,-747.2514170726821
48,-810.2891749247274,-434.3722744266184
49,709.0591145662642,-1079.2251448586417
50,761.9395882062614,-13.41216722304061
51,1055.9960040475726,610.7698194409227
52,-363.08566894420744,273.909650526566
53,1100.5792201894835,66.73347927510534
54,-468.33089531933365,-1449.3350451111767
55,-469.5047118782389,-665.6243875922846
56,480.07307644863255,-435.78078332234884
57,-3613.155574510385,-3089.076713155125
58,803.6051383993421,1278.1727782537985
59,196.20573930191054,113.70294027921067
60,1354.6552059930102,1067.8951511339735
61,-358.6115189582724,-527.6572177452805
62,-696.8202949844792,-695.8122941031377
63,-1287.7064352548489,-916.8186685049337
64,1012.2272090152994,353.6878164252823
65,-266.25680092864735,-378.8557755633843
66,-635.0326178559667,-131.85947228484972
67,431.6887728254643,-44.21940329908147
68,968.3796682009288,607.4809874006254
69,-1672.3776873737866,-3028.362652362612
70,-993.843651990237,-967.4240274181799
71,234.6058378313265,161.01863878075983
72,993.7236030409035,1079.2454264067392
73,-1158.1073999643731,-1456.7792548181665
74,-1186.7966714538265,-2707.784296637968
75,144.27537993465032,172.3396413297346
76,-675.1393284160959,-1707.4650168102985
77,1056.1607463993653,1276.2908666160151
78,99.32918053450028,-184.93000578454024
79,859.501332643055,-1406.3935003506192
80,-1084.9903660631044,-601.4520970470534
81,-237.40640263612912,-520.6122807511322
82,-1610.6964926686312,-2027.5561053887056
83,170.48797888699605,88.96268031450319
84,321.15182768511306,1279.3137512376384
85,50.733885633674674,1191.2853314981573
86,-649.8426524277254,-1541.3336149090214
87,253.49963980924034,641.9625571499437
88,-1981.9671323368818,-671.7386135850801
89,1789.6311043621151,995.5849017986851
90,251.23733135034556,1080.662748718
91,-226.44277638030647,60.56765319241417
92,-1355.0145062523686,-124.50584575974021
93,-785.1963028666288,-865.0822939765546
94,813.6462846609766,1505.1131023564465
95,1007.5885364222845,1575.9843680097172
96,-406.45608104765785,-476.1619286215883
97,471.04420349932235,1264.3039133233851
98,-315.8139240365807,-352.63673987611537
99,-601.1794440003049,-466.08953820173355
100,907.6734659666708,774.7741244901782
101,348.5372842858453,-115.93668704221038
102,-271.0766558366779,-121.85013005451198
103,809.4722476852553,797.3307216139036
104,-752.033312300724,-1922.8448448022277
105,2188.987497403879,1591.432179913578
106,-268.673743439133,102.19320100484912
107,-511.5292831412681,-833.1189856751295
108,792.8001403713,1011.6316644462239
109,1279.5244731009866,1320.1318072961644
110,-481.13669806431017,-776.2493064506896
111,-311.0866706809511,-172.4393447592106
112,-448.95237815901976,-900.638879074188
113,1760.3004138220667,1560.695243281485
114,779.6382847156943,1723.836122699215
115,-604.2656383959758,-1045.53648105413
116,-226.20017139772258,1313.2159127693835
117,-1053.5110963775537,-447.7529877465704
118,-60.95747203262288,289.8282664257373
119,-1386.9308472304922,-1739.1985508788214
120,1056.2279271992577,1446.379997488039
121,1255.7682465787157,1003.2766173262457
122,-31.27660959539764,35.23748991753533
123,20.296937051287735,515.6387046199874
124,43.072936836450765,1278.3242981128212
125,-311.4846624912738,166.22595745988818
126,622.1347184971177,1055.6030369671062
127,-1320.6255948178314,-854.8978115641154
128,481.95483494715273,222.35283886845525
129,282.5628713955406,1027.9741009856757
130,818.5474657573492,-540.6632711997024
131,-642.7708332274734,535.398533028521
132,338.0925665105102,-87.92685051467478
133,708.8827932573815,1312.221369822087
134,1547.2694910731898,1298.1104714311157
135,731.3390801445336,689.7646422403855
136,-1537.7887816827879,-1790.8098934794052
137,1312.7960006054886,1544.0543961121334
138,-176.34454770483464,408.95927784816695
139,250.01952708954752,775.8869066576835
140,2730.9957164894263,1519.685650553665
141,-685.4489925500714,-772.130407635604
142,-231.9343414084608,-261.1760877503128
143,-239.33366742974147,1475.5417013344531
144,617.9888396464869,-478.634621232036
145,-1766.4443740887982,-1246.341092352209
146,-2129.762734071732,-2959.4485167074813
147,-185.71231800774535,186.698417371275
148,379.90562052980533,1281.3555250539523
149,-1332.840187539165,-850.9618437073653
150,663.007231958274,989.8099295784286
151,-539.0014023472488,641.3027132693123
152,400.40017598030033,541.3740454250445
153,-594.4799665160668,-843.4714273572924
154,883.7533369931442,163.9455078391469
155,-1871.5002833044884,-2864.078007086093
156,963.2118972016308,1414.5207163413859
157,473.9648399334806,1334.0262538133868
158,-1784.7930032943132,-2724.6339975160126
159,-425.9985810787392,-888.6133830209654
160,1151.3977450680552,1196.9603827119486
161,314.10478877974066,1204.489934330321
162,159.20640745609853,849.8920920943151
163,591.3405840493238,463.6079619269378
164,411.8155088958872,16.902755853123054
165,-454.1475280573814,-732.4305192221656
166,-1404.4193688348623,-730.6670603061034
167,-95.74201294139712,196.1753664890916
168,-34.92379606439622,672.021415717313
169,-1052.954760515456,-1455.3708530304225
170,-211.19691568491268,-546.6250307343689
171,-1170.0374355535942,-782.5798988456231
172,221.96192572293333,-1079.947220138894
173,-2030.7583362371356,-2908.0313264328756
174,-480.78792496888593,-637.5863907488938
175,-1405.8329210278964,-1184.2062548002648
176,-453.8108085903929,-803.9071553490692
177,598.8490532732868,804.1142522539258
178,330.89827996313176,74.04952842682289
179,404.560135174998,937.4760078842024
180,-609.3596308165797,-1213.3091964384116
181,-130.06911533097633,902.2925412457786
182,398.21559735167773,2028.652486232401
183,-109.25845900783868,-1425.4783520857206
184,194.64311691406243,-320.14702624338923
185,1160.9811345359396,687.0119807185405
186,1593.664532910504,2490.8678491204673
187,-1023.5602178597925,-1171.5557369208695
188,1803.0830037195617,2397.2297597268803
189,-206.6638959790036,44.919136518681164
