type,diag_true,diag_false
observed,-16.521084963636035,-24.73773463733138
0,-154.51060487585187,231.65690476771934
1,-531.7807226821769,-608.3595093043695
2,534.5574028694787,556.8524652418149
3,1010.483038316523,786.247094842848
4,-1485.63392808295,-1332.477727391322
5,1170.1647881025358,970.4039452433755
6,-936.0722136009601,-987.100870686241
7,-279.80310599503196,-646.0850783559773
8,326.6098655561584,85.52786545240778
9,-1069.6583902160135,-978.2880840316684
10,296.5282285210218,125.73177804153651
11,-823.9231439415121,-1142.4904005707228
12,355.91668534837476,-14.509407120008651
13,66.13503008996666,-81.64309561102895
14,-535.5548589170818,-965.3381026265108
15,-145.81629114433366,561.1778687935677
16,898.1700881821832,712.9078541712622
17,1235.145131798292,1669.6900313318813
18,549.4309991800089,313.58984771041355
19,289.60327905939795,364.37987481846756
20,975.1618323162318,838.7300490177403
21,394.82376172480036,140.40724602021749
22,1517.276985223169,1304.6708554022941
23,-51.7011195008207,-218.354332274634
24,-972.8607322001652,-954.7647744474183
25,1123.4877030348596,978.3874155303866
26,103.13855570363955,524.0169211442525
27,-634.2545525358654,-440.1180325984311
28,63.095504311312354,140.00046930030635
29,-372.38399139272065,-188.3549238531664
30,-100.23236812309007,592.1473718231979
31,-333.72437503406206,-447.77944962623803
32,-501.16762222045276,-676.7750254261441
33,91.91865585384194,-7.160653656246927
34,1844.4176710773174,2025.0352610456364
35,1216.7615937877513,1082.340347147871
36,742.8924160120109,468.21593792785154
37,300.643110741468,86.5086258188661
38,-122.21884464466227,-232.53157707574977
39,-1041.6045947313635,-807.3936664012787
40,742.7124116010772,652.5089534544037
41,221.05587905536578,243.21464560086687
42,309.97817413793626,475.3856173579994
43,1953.0335789759156,1633.6870186525855
44,947.8559106345502,1405.1095208973045
45,2817.331327337136,2598.8151420818695
46,-657.0067176098864,-823.3092710849689
47,-1145.9749795051382,-916.3749698022664
48,-222.18853389970494,-187.28687536908973
49,462.6182403543613,533.154106905794
50,925.1062214639526,904.8352798584732
51,645.8974553850242,341.3930547150012
52,-20.84534495342415,71.45523755783465
53,518.6424987723207,-145.41941137996852
54,-944.2071475235921,-874.4602634233602
55,-1106.0252716687949,-936.1854019193911
56,761.3498672231553,800.9226365495604
57,-2847.289408052092,-2407.585966445315
58,79.79963830125033,320.62441134833665
