type,diag_true,diag_false
observed,-99.70230577954379,-76.71371207762928
0,-250.809619532383,352.249098273824
1,-995.8945120239437,-1038.1085271185505
2,360.16862656376765,665.638103836133
3,1177.2727399395144,895.2313943731762
4,-1413.2784382900027,-1337.7595210750496
5,834.5434796197476,1200.354885934924
6,-238.27179919816476,-553.6870790762214
7,269.6937530446641,-88.76630066881405
8,845.6017621873243,1192.8667420692298
9,-675.9588859871417,-814.128850710336
10,753.841401436436,627.5404243461301
11,-610.1706677596947,-370.96882013049617
12,208.28770250312004,-234.51745144464942
13,-700.2123627042757,-791.1111477980822
14,-84.7924279360726,-222.74767359118715
15,299.0914474819847,775.6442396885899
16,868.7054830320485,651.3336673257329
17,1472.9455025378002,2010.3379504828274
18,361.07690764286843,486.23134490876606
19,9.979620811362432,436.6249802743622
20,1389.7863567022255,1555.968463504324
21,-234.5502351029063,-349.32511843052527
22,2086.985837453345,2019.7536880894745
23,193.11386722871802,-49.13569672042378
24,-819.7272476439877,-1180.5106319158456
25,701.0146309858561,891.9797130686542
26,148.46813972452276,490.6379485653207
27,-1276.5566935323234,-867.9052041276749
28,-618.3588330027003,-292.86641952438225
29,-127.5849011135519,-427.3010231713714
30,-327.5057097748633,-110.53992305719774
31,-601.2566224117778,-274.0201474864524
32,-806.4158054955545,-512.7569731274792
33,-589.5171404524551,-1009.3497840954619
34,2198.2058244159284,2409.6363297900098
35,938.4437911413228,892.9250320566069
36,582.5878637066431,450.4334406421174
37,-132.7080750542178,-47.792643497982176
38,-69.41664471415632,-224.94728849763186
39,-918.58331769208,-1027.9243295376593
40,1142.443002137727,1020.1013400604412
41,-94.51852201536488,22.299359844603895
42,-501.1011680375256,-533.9877150518944
43,1662.9373709709398,1469.331032337157
44,507.54042213751217,166.40696187884168
45,2246.6689595525045,2221.6637392902785
46,-50.695625014408954,33.10489725828834
47,-238.7720088795429,-506.40660071824425
48,-365.2498584153936,-465.41114615180646
49,484.9410830718595,692.8017971187923
50,509.7785051791672,713.6636097422776
51,682.5493114365012,697.2622446099242
52,-216.8999070364428,-562.7458437890666
53,350.5755896970026,178.61311663599926
54,-933.8672510035715,-1262.3739037858695
55,-1617.5176503855423,-1388.1129881497097
56,410.0768422537072,370.66389155771924
57,-2636.685517957579,-2029.8462837383265
58,-343.0515918324315,97.98988654645245
59,-169.41766047186343,-77.49552769615022
60,1464.7697435454525,1388.4422960571126
61,-633.3905388247247,-708.3833974168077
62,-882.2444570469671,-195.50395360265327
63,-17.600018435621084,-448.05964226274074
64,591.5495381330975,907.7986056686108
65,193.1542275164376,-578.1921532075744
66,-390.4742374660309,-183.03779195545653
67,560.0926443764778,277.083978485531
68,918.1871950687405,685.4144228999468
69,-1410.364678298336,-925.1962824880611
70,-857.4019763367214,-1146.4589994856738
71,232.99510283359496,242.3649009208832
72,987.3463371108314,774.6881293260302
73,-1193.507514473322,-871.4260876131818
74,873.5216900313148,107.89675475636486
75,-776.6055666920407,-700.1473845410717
76,-655.8448730036807,-666.2801201106699
77,-538.2069296236227,-697.1846841775096
78,-326.84103934488365,-1282.6607053783573
79,-351.26252155065066,-960.6980508800526
80,-52.3947341620447,-860.5259020391762
81,88.6140422568468,34.89347799685097
82,-1671.1036982728492,-1495.2303602605232
83,281.76354481940524,49.92770709580359
84,1580.8931221291061,1019.1096315097271
85,-67.61017443285148,616.1062115821827
86,-944.2631587213565,-1214.202555633334
87,475.401596379163,549.7774891162937
88,-1129.4129815741778,-892.8392611005983
89,1664.8974710755783,1312.1411838147496
90,-424.3550506952119,-782.637674476552
91,-184.19915857456917,-34.7416192365245
92,-1092.6164176957932,-507.2418585068329
93,-1764.0426925975796,-1573.8639369231792
94,639.1442491962151,713.5063795068877
95,2025.2404900753281,1555.5213976745645
96,-284.86270020720684,-317.4407693738616
97,197.3834525945909,-209.18028122184043
98,-964.8616188116083,-848.1627754446646
99,55.579960043054975,65.11054477891372
100,621.4389223498295,756.7452231671961
101,-143.65517239630185,-982.3531482903104
102,-679.1813540146544,-546.4470994869465
103,538.6978433804866,525.412117293754
104,157.54786130657303,338.9690270578415
105,830.4723526693907,1438.1804013840813
106,-725.2819496861667,-437.82727771526487
107,98.49458077281419,286.84363056492776
108,-316.0544628413762,342.60296926502764
109,1204.8114806700964,1533.859992916003
110,-503.82377330669345,-551.1353528908752
111,667.0756597006798,392.7084344069278
112,-164.28486857256635,-599.8729274157643
113,1551.4795786542595,1400.6028440426962
114,1592.1599566824755,1921.437611175229
115,-1075.7838161180562,-1198.5251227698634
116,-312.2691274535221,-286.7921089762632
117,-401.5717397001449,-381.06117563859124
118,989.3066781516814,905.468336203889
119,-1022.0776139585724,-466.9133139051671
120,1427.2345197295494,1889.3254245587323
121,1372.0328704252706,1137.0163827368108
122,-714.4758233883289,-514.0658734382694
123,633.9832797028216,650.2840265595775
124,-316.1117306262766,-608.7937844608641
125,166.6061937379894,-351.72407152621344
126,984.5454611054219,1343.4120475921552
127,-1100.2932394647642,-149.63284498340136
128,969.8997877885199,1138.008675444681
129,117.25162136925677,-133.94325863528368
130,365.5276180108332,25.769765798960545
131,208.27935169426314,309.49887944207114
132,-394.5169944491233,50.92225990741312
133,-319.783787958464,-387.0547027692923
134,723.9392512541418,460.85318108090667
135,162.82350056810816,190.6504076096686
136,-35.58782836006806,-290.42466473458074
137,1093.509910221402,1127.4406578499506
138,-842.9477929603992,-597.7469947939136
139,-193.95742107022318,-647.5617336506508
140,1811.0679928301624,479.6021211991648
141,-329.5162578462358,-755.0545477803138
142,47.912223112916394,335.15415620129033
143,-647.4059425576803,-780.4955848854154
144,475.22180760056204,-81.72871392936185
145,526.171177217878,636.6155302114237
146,-1195.2716047275956,-765.5406395105921
147,437.1759581801036,440.6274462287397
148,-81.60550058778203,638.5120282170568
149,-908.5339093805069,-727.7519818721851
150,-163.0721156030466,20.532142149533485
151,131.7193117315655,-298.32361941483276
152,303.489456201814,156.63027129355086
153,-1020.8749965373826,-1029.559862625688
154,-783.8605354753818,-979.5056542982724
155,-109.17881795401401,28.039078557250843
156,399.03648472964215,955.5494248816686
157,978.8537603684326,1263.8893866698777
158,-1610.7522769134173,-1257.3852314127826
159,-869.8010055342166,-579.4419506332777
160,493.45098642110446,782.1204347796332
161,-401.5901890576096,-570.626743223704
162,-277.5520827644646,243.9008021913017
163,573.5784634990907,840.106525044104
164,410.62699900952197,685.861751666955
165,-314.26940410923925,-300.760186209658
166,-1902.5384831678782,-1949.4963996455215
167,-204.6532012217017,-953.719440654677
168,-173.57641506415965,-28.80633730877219
169,-2372.0122928669157,-2397.061330449716
170,-241.68367945757717,-32.008326199470666
171,-605.6620764001207,-1045.1231000804953
172,-581.8384032057812,-690.3757817350223
173,-1916.2530566695232,-1746.4597195875629
174,-860.0800335117136,-1461.8287286245038
175,-299.1566594122269,1.476066434701358
176,-605.4473494942489,-649.4101879678685
177,-218.37706906389104,-505.0998493670817
178,-387.20259364741656,-360.33402449372034
179,-153.69897853947404,75.51394748322555
180,-797.8425983653848,-795.1955227758967
181,-946.6550446431764,-736.5973263777059
182,5.7506410623931,180.55241788682912
183,-1071.9842705287563,-1429.956582420927
184,-193.94204185807504,-294.6493766531083
185,1291.8168001520123,2187.3102663207096
186,928.7025941963835,982.1131976712247
187,-768.3912100900023,-838.645604106122
188,1702.683081853379,1683.6310368558013
189,332.5310823375593,22.32654828728282
190,-394.3215753404349,-680.6741719056519
191,-321.8847400868565,-297.1960599482606
192,-298.9952217526135,-381.42848338369237
193,154.4261633268848,771.3607272726872
194,-338.5182900076545,-842.655710518914
195,-469.7637089920064,-640.5810414115217
196,1381.1552612189216,1376.6220327012024
197,-1352.7135781502648,-1698.6099071673098
198,-1308.1580061329266,-1022.5823770365316
199,-263.96289795954715,-287.827481206752
200,-307.95133870945324,-137.35230150096947
201,-910.3304217456082,-1199.2736017411582
202,-1278.3177612596996,-1118.6275275676476
203,-47.80132706225211,-70.1884162648175
204,-169.33148959313536,-622.6531491549924
205,-731.4523051569366,-663.6596583236695
206,-5.180361047784856,-109.5043452654893
207,-369.57978546175445,-650.1342525851545
208,278.59244261110535,-54.96081749971026
209,-553.3997143069059,-628.7595486203987
210,264.73089362061444,394.50141144464556
211,-357.29621942452,28.900190707898645
212,-593.0510395061692,-771.6162426080047
213,636.8269759793083,512.2351696580242
214,144.1186257531387,141.7677165663164
215,295.56019160332903,774.1490537598075
216,398.1914742931452,126.80864662302223
217,1288.8326768742616,1637.432284623167
218,-544.7799483233422,-487.3454847612023
219,1.7138728650390416,306.04849321310274
220,-418.193161798763,-500.1733870421337
221,958.092699901034,927.1228911398028
222,125.17545813996625,155.62023854975206
223,606.2229556204462,518.1518133592814
224,-281.55089075642786,-777.2037956299934
225,148.8809875873327,114.39418739860074
226,-81.26488669712384,202.2919039864377
227,283.69675273332365,216.23533694372298
228,906.6869129198526,625.155835274124
229,-1059.6238429237962,-630.1700602832238
230,269.447420282161,424.81962571587366
231,127.97994264073822,49.03734539175915
232,-422.9801706849859,-200.5407538996768
233,493.5293568937921,665.9662664621064
234,1768.528128999141,1796.6083037948988
235,1750.774922895386,2033.390446245352
236,1104.049970379466,906.9063992466405
237,67.75584372647252,51.802688485788366
238,-978.3829918604746,-645.9670875834528
239,341.6039026468937,-254.5556784799442
240,-1673.372520610353,-1680.550415599477
241,-1098.4960151301884,-986.7917161105721
242,291.8314079867579,706.1938128586307
243,69.63102239416358,-795.8293139834562
244,523.1074743235946,1014.0339545108989
245,-615.7176122127597,-553.10441090928
246,779.7186411990082,833.6568623700931
247,-675.1642192066215,92.4520442216965
248,704.6852236818405,575.0718324494367
249,241.58984504614367,115.65028852318731
250,-109.63899565832729,-363.25778055461734
251,-1630.6744187368092,-1925.9161471643763
252,1223.2676671662182,1317.507495056116
253,5.228755404726465,-233.2377218305834
254,-817.0564686469355,-896.5356945266016
255,-74.4749828134615,25.121164418900985
256,-1588.2755309223019,-990.8911703439845
257,35.14266424296693,181.52397457838165
258,803.7666439722394,1089.0560260964223
259,-265.9292443104219,-1.9097059989500227
260,-1352.4028799029934,-1958.9953331269446
261,291.98391373641283,252.81925162763437
262,-455.7122186153823,121.41669135489869
263,-1093.5676991453665,-888.2345660180608
264,-1010.0718869467635,-896.3474673200457
265,1348.2694716134022,1165.4998552084462
266,587.3331418223609,742.4612054402393
267,-1003.9635445972928,-1247.6061110048136
268,366.47196530473144,216.32056125216954
269,100.70169599088157,656.32209001255
270,245.9312136052576,258.7010100135845
271,1083.9425946116712,400.02726940997957
272,-189.78505829729573,-1250.157991929478
273,-734.6585063392492,-850.2526030437785
274,-505.008671638417,168.89806969993876
275,-205.70120664776397,-450.2574658852396
276,1928.9922556043234,2137.607220929638
277,-341.1723096918998,-1050.9427557463075
278,572.3563149054919,768.606665599796
279,-17.657581230864633,338.77894234652945
280,-144.49150773861766,-5.13651681904586
281,-49.95023688586732,38.56048110297209
282,-359.75816709999134,-713.6637233164957
283,-170.85365720409695,85.3526611339579
284,561.8493869208218,1059.7556108027902
285,-115.17011829717535,-360.91875837416046
286,-242.5137872392579,-188.1151035473784
287,-116.96430107283102,162.04149980453016
288,311.0418298644469,844.0590487809973
289,-415.40557186049733,-468.1882589441726
290,-303.53430990289223,-614.1144376401146
291,-1122.2727321391365,-2029.4128268938946
292,211.3030387887008,-6.810381638946799
293,-1611.8246614860104,-1684.9754916815434
294,-676.63343389494,-330.4537004425713
295,-173.56593303594383,413.1599339266022
296,193.40956650524396,-30.265176887760745
297,-197.7960128161263,404.7506387115721
298,-4.592043030159399,-296.61636101340827
299,243.72443051557076,296.0586505777426
300,1256.576476121288,949.4591181979636
301,36.02673836617789,204.59171487692223
302,-78.63876056391317,400.51703386452124
303,-313.2250403249581,200.11029617519046
304,-1354.1100229509736,-1629.6405080058032
305,209.76697767946064,277.83163877837114
306,-363.115549852342,-398.9494345913458
307,-1198.46686569127,-1001.9196253278552
308,-610.3266917771414,-984.3062133402417
309,-697.4550599807101,-1027.4900644156817
310,208.98681737465523,535.36045044873
311,-525.2344008682442,-587.1301781802325
312,-133.97395032026748,-176.48432324411127
313,-197.06461090187372,-349.22671362114824
314,-56.94126553122018,249.1678078017555
315,263.7043808526193,-270.51109960400174
316,-480.523865248171,-399.79528402575835
317,465.4819820960121,442.21395403669385
318,574.4156981497305,688.6777375450928
319,429.7890478180813,247.77192709240418
320,781.1986117720536,839.578035413579
321,-464.1140416750749,-614.8779542639654
322,-263.61994463950816,-541.1169286844498
323,-1823.819977115314,-1466.3046246300826
324,362.9804035310339,412.7429235955045
325,-307.3246719910941,-417.8751048119682
326,1255.085634566057,1578.4125732804919
327,2019.5698673668496,2450.2811626735006
328,578.5860139839211,-141.30900339875132
329,210.31950706037262,-247.52934336002303
330,-939.4837777280411,-953.2211706339658
331,-1889.6034724682818,-1688.1640835221667
332,-1387.9608440119064,-1160.236031641823
333,-237.08962660676636,-401.965317168327
334,624.4274662696796,858.8031546754554
335,-250.3079569256936,-349.1250396291904
336,-112.75622088258997,-139.346250524167
337,-666.2989343962147,-774.3765188047457
338,-1878.379997611502,-2238.3848980595826
339,-798.5892971910822,-895.9723687756208
340,-598.3730540934696,-913.500563985509
341,-364.40868390957615,-1083.1177871961688
342,1640.1704242017786,1494.5081476037756
343,-849.9116862276943,-771.5786035907958
344,703.2768177897424,1277.5545086351517
345,11.651462655532683,319.0390724073291
346,-559.6197381017721,-393.0875699830329
347,-485.4676597778066,-520.8704013837759
348,-308.7780590555117,-53.25601364149946
349,140.29873963280122,-405.81122927439617
350,557.8301251818066,789.3233672589894
351,-251.21240605415477,-163.2034659208305
352,-850.6230930696654,-1151.7608485074816
353,1151.6709074635755,930.3488901601905
354,-476.646497807906,-996.275774148439
355,-610.2355361215723,-1128.2772942237489
356,-713.4237347927307,-964.9232263138098
357,-1612.4761563256773,-1373.1205738891047
358,-433.02350132023645,-300.99183334517437
359,222.75796347570645,104.59343729145066
360,234.15539402376228,106.20625590934016
361,-339.46839854854534,-282.8251154259897
362,-731.9998874136945,-215.20828942972486
363,-1572.82175168043,-1128.2519348141495
364,-717.4764757554153,-1007.4816823217267
365,-544.8655714861277,-397.51074421377956
366,958.9068326367827,1324.947732939964
367,774.9010142343349,802.2645893473795
368,497.13435887994075,558.4262875870081
369,574.7378059479241,906.9957608156168
370,256.4336163454129,131.333464573327
371,1777.446377454894,1965.3411214725231
372,-864.2105535749873,-985.5247324877852
373,246.28845504506307,243.39400154028715
374,-1082.5338965796811,-1018.3934949740856
375,-816.0926716958334,-718.3145213984202
376,1929.37734639526,1971.3730543581996
377,632.4745197037358,586.934702424529
378,530.4650387255103,70.81603895337649
379,-518.2530568675375,219.51480849530915
380,-307.40268269709253,-445.7891460603932
381,-1208.438418805626,-507.81246376358064
382,114.35030248227255,-339.22400008067416
383,298.9973265415855,-93.1182905924563
384,1269.2769462315075,1889.6825571943375
385,64.07772227704342,-208.75604000012356
386,277.0786774026959,619.5626343690221
387,-150.6783616733768,149.02492241664234
388,963.4361926559873,1176.3427714845532
389,255.9297339387292,548.736603934171
390,-13.161115086989042,-449.932723036158
391,-458.7852961272536,-563.7992137926648
392,-711.183789598685,-915.9133603857158
393,841.1147501046617,637.3136389210653
394,1126.8661018103369,1141.2720651785796
395,84.42887606282862,105.62262831826838
396,-262.9073304526364,-749.5791840575215
397,-1242.0227396715627,-1372.12373735659
398,551.3538457112211,612.0887377914021
399,-432.8992342274665,-371.08486842410423
400,-1376.0116611171334,-1313.7039080253817
401,264.7276118301234,602.225426315813
402,-209.6069107245948,133.53950597736926
403,614.5786892372641,374.4201386568959
404,-508.60639465314495,-566.2697361429501
405,600.036266900007,428.1964386359415
406,506.43072197855355,586.2776326369706
407,-377.90643738919584,89.80463222151724
408,-664.9339050171268,-659.6356891913767
409,-150.27676836784812,-264.7554476977263
410,-188.4125931973138,-745.8763504064202
411,-904.1392773922022,-909.8095158341065
412,136.08977603385776,258.05263849722286
413,-395.1886206505034,77.5692575947702
414,616.4837079926912,1311.6425949449208
415,178.65832777685264,7.797417332070447
416,-1200.3113763895772,-1780.630320613009
417,234.987890439651,169.6852110075868
418,-120.76310936935941,259.5564583175723
419,-375.026667350918,-364.2506610812046
420,282.032921575968,-113.30969496218894
421,155.28753714173524,445.5201500856368
422,12.437316755637392,294.91396917862846
423,-688.9940149830445,-1010.4236593059313
424,-169.48194416671106,-279.74769371619914
425,821.8409118552986,947.4884035664321
426,798.7058452441203,415.22770886835497
427,-930.1765277397894,-722.3604917512373
428,-311.252532247987,-685.160679020597
429,-296.5469546427765,41.226717105003644
430,-767.4663884424901,-489.3243429209005
431,-741.8940282515911,-376.3123792367508
432,-1529.7013528036216,-1832.1463875871455
433,1598.1197174171614,1900.0478777603105
