type,diag_true,diag_false
observed,-288.9173912516706,-263.613174002427
0,-1520.9796651523445,-226.06482331888367
1,-1094.3024303902318,-764.250619883544
2,2540.7632686740117,1400.5202019681985
3,1744.5338801961514,1290.0671966764778
4,-165.03791640674066,-1254.408502567061
5,1105.600300557725,418.9712477439756
6,185.027343230636,119.03696505805644
7,-263.4860129195956,-204.12761382155017
8,591.8204796159374,469.4780147986028
9,410.7316650649958,709.0112993458155
10,-87.55622826604872,-356.6292833085459
11,117.73882016846635,250.98424056374608
12,1637.8993351774718,-132.6026039945279
13,288.62204710252166,-226.6476979610401
14,-493.8207487514149,-389.28025213917186
15,447.1549071926603,1414.2820977373115
16,704.5097836597255,-385.4133916538093
17,10166.459093899452,5947.842106064472
18,1415.2919344971888,1408.4948120231866
19,977.1351331350413,1003.6046639201743
20,413.977622304413,729.9502712915641
21,-1364.537031882627,-199.62904067287624
22,2153.7924202108293,1540.5496767499917
23,1402.6240517433953,1388.5796843949624
24,-443.4066609186005,-453.01286072990035
25,727.3234213756972,-669.4332585192124
26,504.09066149728267,604.5365024725393
27,-162.68395337922428,814.6390578883198
28,213.93912253435647,1554.764037830895
29,203.95422402673242,538.6767399344662
30,-24.115031468337357,-260.24475263700566
31,-1432.566020591815,-862.6877551880757
32,-481.68753319833144,-758.6691668893786
33,-290.8666581808819,-513.0797984342547
34,1885.2133475501,1514.7353205865265
35,2931.3737532086457,2043.7486123251704
36,505.11514592860897,1105.806446819903
37,772.0874763969468,690.2931400195924
38,-161.74407694839445,-1068.3770952363934
39,-808.7654407401752,-674.4882224401695
40,1484.295734737892,888.0867949991745
41,-577.3354107915009,-1316.7752672517768
42,-1041.0611296776938,-1052.1891841067988
43,1996.3984722950186,1892.2584825909762
44,961.8703969191816,1221.2321984877442
45,2546.2554493166363,1910.0778083974526
46,307.0174267365348,407.4930334299061
47,-900.4524196080156,535.4958600126263
48,-1454.2333213955276,-726.7034446739525
49,1281.8702709984307,67.20867182055935
50,1163.7375541310064,1387.882471193882
51,-39.689115491041505,555.7009559141543
52,995.7835468503507,394.5562656840705
53,2577.7489242932415,2081.889733687221
54,-1113.6499069149038,-923.626607360826
55,-1824.8382569370929,-1433.8826555821759
56,793.625166674039,1304.8151653656503
57,-1397.0749676951698,78.53893326934822
58,-537.86622464057,-221.0970623858433
59,-829.2306802427278,-905.6428425981208
60,1450.9721078760522,1530.572698178017
61,-395.87028421797186,-1017.2984285376658
62,-730.1296853688847,-712.9195871105462
63,660.6513748931729,2275.0608737075327
64,484.87085341063107,144.4817881847776
65,200.51723919202465,809.077504327213
66,-2009.5537940205754,-1076.5412350023394
67,953.800985255123,1074.2569204752233
68,358.61289578024935,474.8205929814189
69,-2922.0761711238088,-1273.333433392911
70,-66.28304204386458,728.0402224393964
71,-605.2944684159462,-877.772224321205
72,1134.2590692239596,1026.2576053700432
73,-397.95927631940765,-33.43909109007159
74,170.54993378438544,-308.42996230044855
75,-652.5336508889685,-1430.1544098635216
76,-84.72541875782608,419.00599289813596
77,-538.2145755448255,-1530.9949219807509
78,-1590.2464160569873,-2289.2653950018694
79,-571.9430835148387,-910.0106065762982
80,-1090.2096939686585,-1820.812275270449
81,88.90733790738008,306.36208621073865
82,-2101.105144673077,-988.0339196662978
83,-79.95870162857578,-266.43787664617156
84,792.184004433136,581.5701520586259
85,-655.0545270553799,1237.619270774902
86,-714.7542232380558,-1713.4156995029039
87,397.6720573634685,-525.4391934011313
88,-172.29845555165008,654.3336979942998
89,2520.36384362406,2404.4446544387306
90,-179.90998280334895,-738.1773137812776
91,666.8981501479243,1942.7825607748662
92,-1310.119252272166,-759.3595616441324
93,-1961.2701590815523,-2843.903114699877
94,81.0077536754582,1167.1708254161765
95,2603.466934044915,2203.3212958454183
96,1651.525485150736,1921.4066849087176
97,60.654564125599904,58.42085926487796
98,-513.0488351605604,-972.5603817376109
99,-479.0589305864628,-378.6318375052338
100,1122.718863875374,87.15733154721366
101,-833.4996438106249,-2062.9942059473956
102,814.0173388631792,1434.3685111943616
103,1111.7029227176738,1346.0697523364668
104,878.1953003216187,-195.45825079657752
105,1792.826916200089,1653.226289494384
106,-1417.7996169037506,-1500.1087152060982
107,379.72988963481384,733.1526817032268
108,-202.6743288173054,-1793.448758935109
109,2721.481902941593,2596.2700969366597
110,-743.0276738967651,82.26931372143964
111,-525.7461116863922,-30.063460948679996
112,-108.5973267677495,-148.57779470371793
113,2075.230072485625,1413.540771557165
114,-324.93152282681444,221.82925213266122
115,-449.8557680937132,-115.47204146209259
116,795.3146706859017,954.3159017000561
117,-1042.5907208113854,-362.9459498311098
118,-403.57864119310574,-796.064836415449
119,136.35020182378085,-651.7207109689442
120,755.4118443673336,435.9847642945967
121,1636.2989229357602,1658.7934212596638
122,-1488.5692672519046,-1219.9721691045768
123,133.58082370222863,24.608376400561056
124,-282.71308609654807,-102.32288451353334
125,189.28265255599547,574.545938381275
126,1438.3102000949925,1608.343026185287
127,-288.0195968168226,-592.6287534675654
128,838.7987500031993,1360.3244957342536
129,-96.1275922795781,1533.421888747704
130,-20.970700629587924,-172.31039985784096
131,-218.2443991059411,-423.00742891893606
132,72.69160291333452,-564.7987988150953
133,-104.39133326213786,347.1686038998648
134,425.4466232815093,803.3016754474194
135,263.2267077413051,-252.74418607334584
136,-1369.4312384295333,-226.130548091659
137,1186.4833098957376,56.145806826422934
138,-697.7574161094449,-124.98863566031993
139,1002.7616664947733,1408.2995480390912
140,124.8066549506915,1871.2013694201291
141,1159.9911993357643,689.8729662743096
142,36.92877046205807,-477.04239003477016
143,271.83587879081017,224.63038887604938
144,779.9493536019494,578.673389464985
145,-2714.239379039638,-491.7493473117216
146,-1929.938776676461,-1945.9944821310764
147,-730.6514150196542,571.8210207347037
148,646.1953579324697,679.9065297855476
149,-1488.3273159163705,-970.6152960765763
150,-989.0990259124293,-2283.096580619248
151,-798.0658818885399,-545.3451667008203
152,840.2115614517579,686.7940836939163
153,-1003.3906886117526,-1909.9451589141072
154,-1364.433348623538,-2297.228402064116
155,404.1144399456452,-1255.423240699138
156,387.8456071474153,1102.611837302842
157,1092.2809748971883,673.6023200725061
158,-2047.156405336415,-1612.0449183480387
159,-320.6953384344085,-1070.8552131106278
160,1383.1107603305936,1486.5428181504326
161,-736.8458724674509,-1157.6637203070086
162,130.252730033378,476.5259319326361
163,330.7752824713607,-186.58147756292706
164,-78.80017800038077,-797.5961365215115
165,-27.737138948939847,917.5964524048926
166,-739.2007339916818,-1390.2245762685006
167,-1151.2340550567515,-1169.9016624526398
168,-814.9873359324715,-613.515384168382
169,-3041.9601821401284,-3905.46029149067
170,831.7952327278691,1072.1163932236018
171,41.92990935104936,-984.7642346955543
172,740.20696819585,-436.0832364326762
173,-1671.0945030521088,-906.5860394165794
